C,phi,S Propesed,Stress
0.56,29,0.04077422782,0.04630581986
6.33,28,0.0854539925,0.09519573579
5.93,26,0.07899629654,0.1281119564
5.93,26,0.0660591525,0.1289611577
5.92,28,0.0842929058,0.2491586342
7.11,31,0.2113653284,0.2854159103
7.11,31,0.1781506962,0.3059611687
20.81,26,0.200604274,0.3020491187
20.81,26,0.2350242243,0.2865867119
0,27,0.07030045132,0.08263548758
4,26,0.09526443419,0.163934685
4,26,0.09398160607,0.1655548331
0,30.4,0.08375667515,0.205704568
3,30,0.09463102913,0.1510390423
25,27,0.05488144165,0.04965865508
10,34,0.06098078737,0.09323226954
10,30,0.07759909747,0.1042408613
11.42,27,0.03488910256,0.03181953891
6.76,28,0.05189901127,0.06578717846
10.21,29,0.05189641513,0.0657877657
14.3,29.2,0.06818261954,0.1009854445
7.59,28,0.06818138265,0.1009802524
9.87,28,0.0753728054,0.1358950532
6.86,27,0.1111907411,0.1766067081
8.69,26,0.09648355876,0.1953904428
6.67,29,0.1275388052,0.2461033675
19.5,29.6,0.1179818234,0.2479817269
5.32,28,0.1518886584,0.2660875205
15.82,29,0.1619473403,0.3108028792
1,26,0.1920226284,0.3222169051
14.28,30.2,0.2098195715,0.3124383381
6.15,26,0.2232369267,0.3235815982
13.45,27,0.2040762825,0.3350496418
11.91,28,0.1228041169,0.3331358428
17.3,28,0.2227510462,0.347559422
10.09,29,0.2216408844,0.40252433
20,28.1,0.2228877916,0.3954924471
14.92,29,0.2247719012,0.4206898778
1.53,27,0.2278383378,0.4112457158
16.94,29,0.2307925914,0.4232513111
28.7,30,0.2290170135,0.4228162123
14.46,29,0.232618541,0.4301748636
7.15,28,0.2208364024,0.469925548
34.49,30,0.2315958308,0.4922047512
21.9,28.3,0.226619289,0.5112073128
15.7,28,0.1719801499,0.3716622779
4,26,0.03883987485,0.02973790276
10,30,0.04498250134,0.04776150012
7,29,0.04519210934,0.1067767176
6,30,0.06701619441,0.1292653959
18,29,0.08266657109,0.1512408316
10,29.5,0.08104899099,0.1721835873
10,29.5,0.09648256903,0.1953859888
5,29,0.1212089852,0.2159804042
11,28,0.1086711986,0.2303225161
9,27,0.09264539276,0.2091493065
5,29,0.1211630718,0.2263592567
15,32,0.127412473,0.2345883542
15,28,0.09909519292,0.3064657168
8,30,0.1172248747,0.3199509858
29,22,0.2241035273,0.4288432162
31,29,0.2298975172,0.4247456024
0.05,21,0.1032349997,0.2314276736
0.05,29,0.1719663151,0.3311250068
0.11,25,0.2304226093,0.3700944421
0.15,25,0.1904472491,0.3461981763
0.14,26,0.2292447666,0.3659035739
0.13,26,0.1734666346,0.2813158602
0.07,31,0.1504918888,0.2666982118
0.05,30,0.1438224511,0.2980265554
0.13,25,0.2116207916,0.3500710233
0.15,25,0.2118020644,0.3507377461
0.05,30,0.1070811856,0.2413954425
0.07,31,0.1490667708,0.2825434026
0.04,32,0.05672229488,0.1140317233
0.03,32,0.06036663081,0.1438886546
0.04,32,0.07934535359,0.09167927964
0.03,33,0.07124013902,0.09395982685
0.05,36,0.03107207905,0.03802392703
0.04,30,0.05753552351,0.121087082
0.09,28,0.1878901209,0.2575640396
12,20,0.1825216903,0.3275935932
42.5,22.6,0.181542783,0.2427765178
32.5,18.4,0.1824617072,0.3462402298
